F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S adminis+    3131    2754  0  80   0 - 80911 do_pol 09:34 ?        00:00:00 /usr/libexec/gsd-print-notifications
0 S adminis+    3134    2754  0  80   0 - 132771 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-rfkill
0 S adminis+    3135    2754  0  80   0 - 77390 do_pol 09:34 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
0 S adminis+    3136    2754  0  80   0 - 135799 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-sharing
0 S adminis+    3137    2754  0  80   0 - 96455 do_pol 09:34 ?        00:00:00 /usr/libexec/gsd-smartcard
0 S adminis+    3138    2754  0  80   0 - 98410 do_pol 09:34 ?        00:00:00 /usr/libexec/gsd-sound
0 S adminis+    3139    2754  0  80   0 - 121618 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-wacom
4 S adminis+    3141    2754  0  80   0 -  9782 do_wai 09:34 ?        00:00:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
0 S adminis+    3170    2754  0  80   0 - 53560 do_pol 09:34 ?        00:00:02 /usr/bin/vmtoolsd -n vmusr --blockFd 3 --uinputFd 4
0 S adminis+    3174    2947  0  80   0 - 76406 do_pol 09:34 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
0 S adminis+    3184    2947  0  80   0 - 245632 do_pol 09:34 ?       00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
0 S adminis+    3279    2754  0  80   0 - 115764 do_pol 09:34 ?       00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
0 S adminis+    3296    2754  0  80   0 - 136663 do_pol 09:34 ?       00:00:00 /usr/libexec/goa-daemon
0 S adminis+    3332    2754  0  80   0 - 104051 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-printer
0 S adminis+    3421    3114  0  80   0 - 59162 do_pol 09:34 ?        00:00:00 /usr/libexec/ibus-memconf
0 S adminis+    3426    3114  3  80   0 - 105367 do_pol 09:34 ?       00:00:09 /usr/libexec/ibus-extension-gtk3
0 S adminis+    3432    2754  0  80   0 - 241113 do_pol 09:34 ?       00:00:00 /usr/libexec/evolution-calendar-factory
0 S adminis+    3438    2754  0  80   0 - 77607 do_pol 09:34 ?        00:00:00 /usr/libexec/ibus-portal
0 S adminis+    3458    2754  0  80   0 - 115715 do_pol 09:34 ?       00:00:00 /usr/libexec/goa-identity-service
0 S adminis+    3480    2754  0  80   0 - 77690 do_pol 09:34 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
1 S adminis+    3486    3141  0  80   0 - 107401 do_pol 09:34 ?       00:00:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
0 S adminis+    3500    2754  0  80   0 - 77443 do_pol 09:34 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
0 S adminis+    3513    2754  0  80   0 - 77448 do_pol 09:34 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
0 S adminis+    3514    2754  0  80   0 - 187891 do_pol 09:34 ?       00:00:00 /usr/libexec/evolution-addressbook-factory
0 S adminis+    3525    2754  0  80   0 - 97344 do_pol 09:34 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
0 S adminis+    3537    2993  0  80   0 - 63983 ep_pol 09:34 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.UW0V12 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
0 S adminis+    3566    3114  0  80   0 - 59193 do_pol 09:34 ?        00:00:00 /usr/libexec/ibus-engine-simple
0 S adminis+    3586    2754  0  80   0 - 57554 do_pol 09:34 ?        00:00:00 /usr/libexec/dconf-service
0 S adminis+    3608    2926  0  80   0 - 133928 do_pol 09:34 ?       00:00:00 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
0 S adminis+    3609    2754  0  80   0 - 59085 do_pol 09:34 ?        00:00:00 /usr/libexec/gvfsd-metadata
0 S adminis+    3659    2754  0  99   - - 239401 do_pol 09:34 ?       00:00:01 /usr/libexec/tracker-miner-fs-3
0 S adminis+    3671    2754  0  80   0 - 632884 do_pol 09:34 ?       00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
1 I root        3701       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:3-ttm]
1 I root        3702       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:4-ttm]
1 I root        3703       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u260:2-ttm]
1 I root        3705       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:5-ttm]
1 I root        3706       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:6-ttm]
1 I root        3707       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:7-ttm]
1 I root        3708       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:8-ttm]
1 I root        3709       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:9-ttm]
1 I root        3710       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:10-ttm]
1 I root        3711       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:11-ttm]
1 I root        3712       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:12-ttm]
1 I root        3713       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:13-ttm]
1 I root        3714       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:14-ttm]
1 I root        3715       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:15-ttm]
1 I root        3716       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:16]
0 S adminis+    3729    2754  0  80   0 - 160113 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-xsettings
0 S adminis+    3760    2754  0  80   0 - 208173 do_pol 09:34 ?       00:00:00 /usr/libexec/xdg-desktop-portal
0 S adminis+    3767    2754  0  80   0 - 218080 do_pol 09:34 ?       00:00:00 /usr/libexec/xdg-desktop-portal-gnome
0 S adminis+    3793    2754  0  80   0 - 66778 do_pol 09:34 ?        00:00:00 /usr/libexec/ibus-x11
0 S adminis+    3813    2993  0  80   0 - 180233 do_pol 09:34 ?       00:00:00 /usr/libexec/mutter-x11-frames
0 S adminis+    3827    2754  0  80   0 - 104440 do_pol 09:34 ?       00:00:00 /usr/libexec/xdg-desktop-portal-gtk
1 S root        4041       2  0  58   - -     0 psi_rt 09:34 ?        00:00:00 [psimon]
0 S adminis+    4241    2993  1  80   0 - 843474 do_pol 09:34 ?       00:00:03 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
4 S adminis+    4347    2993 26  80   0 - 776538 do_pol 09:35 ?       00:00:48 /snap/firefox/5701/usr/lib/firefox/firefox
0 S adminis+    4547    2947  0  80   0 - 123736 do_pol 09:35 ?       00:00:00 /usr/bin/update-notifier
4 S adminis+    4615    4347  0  80   0 - 54389 do_pol 09:35 ?        00:00:00 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -parentBuildID 20250131183110 -prefsHandle 0 -prefsLen 30933 -prefMapHandle 1 -prefMapSize 261150 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {e0d56bef-20b4-46b3-ba73-8dbc155e8e6d} -parentPid 4347 -crashReporter 5 -appDir /snap/firefox/5701/usr/lib/firefox/browser 1 socket
4 S adminis+    4632    4347  1  80   0 - 609853 do_pol 09:35 ?       00:00:02 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 30998 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {463ce4fb-9bb5-48b1-96f3-3bd82ff24157} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 2 tab
4 S adminis+    4638    4347  0  80   0 - 87550 do_pol 09:35 ?        00:00:00 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -parentBuildID 20250131183110 -prefsHandle 0 -prefsLen 30998 -prefMapHandle 1 -prefMapSize 261150 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {52885d26-1199-41a2-a468-9a3da24708a6} -parentPid 4347 -crashReporter 5 -appDir /snap/firefox/5701/usr/lib/firefox/browser 3 rdd
4 S adminis+    4669    4347  2  80   0 - 615296 do_pol 09:35 ?       00:00:03 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 31123 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {26b05271-803d-4c9e-abac-b2923ea64c69} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 4 tab
4 S adminis+    4696    4347  4  80   0 - 621542 do_pol 09:35 ?       00:00:06 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 28088 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {6aff854f-0b29-4780-9e15-371067f6152b} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 5 tab
0 S adminis+    4725    2754  0  80   0 - 309486 futex_ 09:35 ?       00:00:00 /usr/bin/snap userd
4 S adminis+    5220    4347  0  80   0 - 54048 do_pol 09:35 ?        00:00:00 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -parentBuildID 20250131183110 -sandboxingKind 0 -prefsHandle 0 -prefsLen 40163 -prefMapHandle 1 -prefMapSize 261150 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {d4da33dc-8b8c-4fbd-b051-104363a328d7} -parentPid 4347 -crashReporter 5 -appDir /snap/firefox/5701/usr/lib/firefox/browser 6 utility
4 S adminis+    5228    4347  0  80   0 - 600854 do_pol 09:35 ?       00:00:00 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 37028 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {343d6873-060a-4345-bc3a-8888d808d33e} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 7 tab
4 S adminis+    5235    4347  0  80   0 - 600855 do_pol 09:35 ?       00:00:00 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 37028 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {2f9c74ba-40c8-4687-9d76-5a9d1c0bcabb} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 8 tab
4 S adminis+    5314    4347  0  80   0 - 601021 do_pol 09:35 ?       00:00:00 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 37524 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {e27f92b1-ad1d-4eda-9209-fa25aa9b8076} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 9 tab
0 S adminis+    5361    2754  4  80   0 - 361074 do_pol 09:36 ?       00:00:05 /usr/bin/nautilus --gapplication-service
0 S adminis+    5385    2926  0  80   0 - 97058 do_pol 09:36 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.19 /org/gtk/gvfs/exec_spaw/1
0 S adminis+    5400    2754  2  80   0 - 155954 do_pol 09:36 ?       00:00:02 /usr/libexec/gnome-terminal-server
0 S adminis+    5408    5400  0  80   0 -  2937 do_wai 09:36 pts/0    00:00:00 bash
1 D root        5715       2  0  80   0 -     0 msleep 09:37 ?        00:00:00 [kworker/0:1+usb_hub_wq]
4 S root        5908    5408  0  80   0 -  4953 do_pol 09:38 pts/0    00:00:00 sudo ./uac -p ir_triage /home/administrator/Desktop/
1 S root        5909    5908  0  80   0 -  4953 do_pol 09:38 pts/1    00:00:00 sudo ./uac -p ir_triage /home/administrator/Desktop/
4 S root        5910    5909  1  80   0 -   824 do_wai 09:38 pts/1    00:00:00 /bin/sh ./uac -p ir_triage /home/administrator/Desktop/
0 S adminis+    6306    3659  4  99   - - 118584 do_pol 09:38 ?       00:00:00 /usr/libexec/tracker-extract-3 --socket-fd 3
5 S root        6908    5910  5  80   0 -   824 do_wai 09:38 pts/1    00:00:00 /bin/sh ./uac -p ir_triage /home/administrator/Desktop/
4 R root        7096    6908 99  80   0 -  2050 -      09:38 pts/1    00:00:00 ps -efl
